Name,State,Notes,Tags,Created,Runtime,Sweep,alpha,filter,kernel_size,model_path,number_of_iter,parametric_mode,rho,seed,size,thr,var_estimation,cov,signal,noise_distribution,ws_distance,bonf-p-value-mean,bonf-p-value-se,bonf-rejection,ks-bonf-p,ks-naive-p,ks-oc-p,ks-p,naive-p-value-mean,naive-p-value-se,naive-rejection,number-of-error,oc-p-value-mean,oc-p-value-se,oc-rejection,p-value-mean,p-value-se,rejection,search-count,time
youthful-star-174,finished,-,submission_fpr_robust_after,2024-01-31T05:45:55.000Z,2752,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.02,0,0,0,0,0,0.8905783340329645,1.1335852383225247e-190,1,0,1,0,0.056,0.006863753,0.056,0.051,0.006046119,0.051,1604.031,40.53365744400024
amber-durian-173,finished,-,submission_fpr_robust_after,2024-01-31T05:43:44.000Z,2081,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.01,0,0,0,0,0,0.6164440961898051,7.358126224509466e-207,1,0,1,0,0.039,0.006904105,0.039,0.059,0.005259911,0.059,1562.155,37.88691864395142
glad-dream-172,finished,-,submission_fpr_robust_after,2024-01-31T05:38:52.000Z,2595,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.04,0,0,0,0,0,0.5051118403457155,7.098106038658919e-195,1,0,1,0,0.053000000000000005,0.005972158,0.053,0.04,0.005163978,0.04,1405.485,33.99434153294563
jumping-glitter-171,finished,-,submission_fpr_robust_after,2024-01-31T05:33:25.000Z,1599,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.03,0,0,0,0,0,0.5480013348012714,1.762134109064971e-196,1,0,1,0,0.068,0.007272475,0.068,0.039999999999999994,0.005374838,0.04,1440.613,48.700481265068056
denim-glitter-170,finished,-,submission_fpr_robust_after,2024-01-31T05:26:31.000Z,2097,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.02,0,0,0,0,0,0.43121465346353416,9.619235896648667e-194,1,0,1,0,0.047,0.006155395,0.047,0.029000000000000005,0.006046119,0.029,1462.08,38.11944829130173
lilac-pine-169,finished,-,submission_fpr_robust_after,2024-01-31T04:58:46.000Z,2065,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.01,0,0,0,0,0,0.6315021415618021,7.900940077173041e-194,1,0,1,0,0.04,0.006497863,0.04,0.053000000000000005,0.007,0.053,1481.654,39.59490214085579
dazzling-sun-168,finished,-,submission_fpr_robust_after,2024-01-31T04:58:37.000Z,3834,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.04,0,0,0,0,0,0.7006038174729512,3.617240362966557e-191,1,0,1,0,0.057,0.007608475,0.057,0.033999999999999996,0.004760952,0.034,1352.096,31.782554687976837
divine-violet-163,finished,-,submission_fpr_robust_after,2024-01-31T04:32:14.000Z,4395,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.04,0,0,0,0,0,0.6182253817970441,3.690241798155418e-209,0.999,0.001,0.999,0,0.046,0.004760952,0.046,0.04,0.006666667,0.04,1351.287,31.510309804439544
royal-haze-161,finished,-,submission_fpr_robust_after,2024-01-31T04:32:14.000Z,3965,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.02,0,0,0,0,0,0.6970608134042973,1.4544196685307085e-186,1,0,1,0,0.037000000000000005,0.004725816,0.037,0.06,0.008299933,0.06,1443.161,34.05259823441506
fine-universe-167,finished,-,submission_fpr_robust_after,2024-01-31T04:32:14.000Z,4535,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.02,0,0,0,0,0,0.29005273778663854,9.795151340285664e-196,1,0,1,0,0.045,0.00341565,0.045,0.042,0.005333333,0.042,1427.816,30.919875349283217
icy-waterfall-165,finished,-,submission_fpr_robust_after,2024-01-31T04:32:14.000Z,1555,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.03,0,0,0,0,0,0.20734776941177505,1.4787002803691436e-189,1,0,1,0,0.056,0.011075498483890766,0.056,0.044,0.008459052,0.044,1399.821,47.18714311671257
graceful-waterfall-162,finished,-,submission_fpr_robust_after,2024-01-31T04:32:14.000Z,4241,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.01,0,0,0,0,0,0.1666986066449062,1.5468001719332874e-216,1,0,1,0,0.049,0.005044249,0.049,0.038,0.004898979,0.038,1481.089,32.6684859
rosy-dust-166,finished,-,submission_fpr_robust_after,2024-01-31T04:32:14.000Z,3240,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.01,0,0,0,0,0,0.5294318288172836,7.659509156218198e-187,1,0,1,0,0.047,0.006506407,0.047,0.044,0.006863753,0.044,1492.711,35.78898927307129
desert-terrain-162,finished,-,submission_fpr_robust_after,2024-01-31T04:32:14.000Z,1545,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.03,0,0,0,0,0,0.26357560033773764,8.210354651604954e-189,1,0,1,0,0.040999999999999995,0.006904105,0.041,0.026,0.004,0.026,1386.71,46.53968775296211
divine-butterfly-160,finished,-,submission_fpr_robust_after,2024-01-31T02:01:16.000Z,2728,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.04,0,0,0,0,0,0.599914813,1.7842546965655522e-184,1,0,1,0,0.117,0.006333333,0.117,0.093,0.010440306508910547,0.093,1414.41,34.056604142427446
lilac-tree-159,finished,-,submission_fpr_robust_after,2024-01-31T01:59:58.000Z,1332,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.03,0,0,0,0,0,0.46910165317274144,5.861706919004241e-168,1,0,1,0,0.097,0.012565385,0.097,0.101,0.004582576,0.101,1437.703,40.46213415145874
restful-bird-158,finished,-,submission_fpr_robust_after,2024-01-31T01:46:49.000Z,2671,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.02,0,0,0,0,0,0.7866785294922299,3.4003573802237167e-156,1,0,1,0,0.092,0.005537749,0.092,0.085,0.007490735,0.085,1459.135,35.362276269674304
swept-donkey-157,finished,-,submission_fpr_robust_after,2024-01-31T01:45:55.000Z,2281,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.01,0,0,0,0,0,0.8419845056474446,5.099081240013774e-180,1,0,1,0,0.098,0.012543258,0.098,0.092,0.006110101,0.092,1501.977,38.69216593170166
vivid-lion-156,finished,-,submission_fpr_robust_after,2024-01-31T01:45:10.000Z,2782,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.04,0,0,0,0,0,0.9161723027425888,4.034553696758184e-200,1,0,1,0,0.108,0.006110101,0.108,0.128,0.013646326,0.128,1642.167,41.05787798881531
floral-bee-155,finished,-,submission_fpr_robust_after,2024-01-31T01:29:55.000Z,1848,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.03,0,0,0,0,0,0.7240395008361175,1.2965144513097484e-169,1,0,1,0,0.096,0.008192137,0.096,0.11500000000000002,0.013437096,0.115,1619.11,55.945981159210206
divine-dream-154,finished,-,submission_fpr_robust_after,2024-01-31T01:29:01.000Z,2452,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.02,0,0,0,0,0,0.798636252,6.999185336929006e-175,1,0,1,0,0.109,0.006403124,0.109,0.093,0.009551033,0.093,1607.71,37.87757284975052
genial-shadow-153,finished,-,submission_fpr_robust_after,2024-01-31T01:25:16.000Z,2038,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.01,0,0,0,0,0,0.4091768012025462,2.534193160733255e-189,1,0,1,0,0.081,0.008749603,0.081,0.098,0.011135528725660045,0.098,1547.345,35.83497031354904
exalted-terrain-152,finished,-,submission_fpr_robust_after,2024-01-31T01:22:07.000Z,2597,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.04,0,0,0,0,0,0.6085634118969607,2.162999130903489e-169,1,0,1,0,0.11200000000000002,0.009637888,0.112,0.087,0.007608475,0.087,1399.643,33.76189934706688
amber-star-151,finished,-,submission_fpr_robust_after,2024-01-31T01:18:28.000Z,1582,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.03,0,0,0,0,0,0.6003071730946521,1.3338821345721184e-179,1,0,1,0,0.10499999999999998,0.008198916,0.105,0.089,0.004818944,0.089,1435.355,48.113715465068815
valiant-snowball-150,finished,-,submission_fpr_robust_after,2024-01-31T01:09:55.000Z,2131,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.02,0,0,0,0,0,0.238131206,7.533963951453187e-170,1,0,1,0,0.099,0.007666667,0.099,0.082,0.009404491,0.082,1456.371,38.20039229464531
brisk-fire-149,finished,-,submission_fpr_robust_after,2024-01-31T00:42:28.000Z,2131,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.01,0,0,0,0,0,0.5268608973878899,1.816166242180014e-172,1,0,1,0,0.097,0.004725816,0.097,0.087,0.010225241100118644,0.087,1470.075,38.90869894552231
dauntless-valley-148,finished,-,submission_fpr_robust_after,2024-01-31T00:42:10.000Z,3846,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.04,0,0,0,0,0,0.531242157,9.859329535593207e-162,1,0,1,0,0.103,0.008698659,0.103,0.068,0.011035297,0.068,1343.395,31.76103334450722
swift-energy-147,finished,-,submission_fpr_robust_after,2024-01-31T00:15:55.000Z,3227,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.01,0,0,0,0,0,0.931460712,4.871329033076696e-177,1,0,1,0,0.095,0.013682917167849192,0.095,0.097,0.006674995,0.097,1484.326,35.506262100458144
snowy-pine-145,finished,-,submission_fpr_robust_after,2024-01-31T00:15:55.000Z,4403,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.04,0,0,0,0,0,0.6605607309344034,1.6037927158270238e-180,0.999,0.001,0.999,0,0.087,0.008825468,0.087,0.091,0.011780398031381529,0.091,1349.857,31.547806759357453
worthy-shape-143,finished,-,submission_fpr_robust_after,2024-01-31T00:15:55.000Z,4358,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.02,0,0,0,0,0,0.3946602347180797,2.5225746046015087e-168,1,0,1,0,0.093,0.008306624,0.093,0.084,0.004988877,0.084,1424.871,30.932274922847743
devoted-bird-143,finished,-,submission_fpr_robust_after,2024-01-31T00:15:55.000Z,3943,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.02,0,0,0,0,0,0.491798179,7.255175916109008e-153,1,0,1,0,0.097,0.010857665,0.097,0.097,0.010440307,0.097,1432.459,33.68263527798653
expert-firebrand-141,finished,-,submission_fpr_robust_after,2024-01-31T00:15:55.000Z,4129,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.01,0,0,0,0,0,0.056343442,7.347013635433284e-203,1,0,1,0,0.091,0.009243616,0.091,0.078,0.008,0.078,1478.644,32.336508450746535
crisp-grass-142,finished,-,submission_fpr_robust_after,2024-01-31T00:15:55.000Z,1551,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.03,0,0,0,0,0,0.23663275149382257,1.6615653116105665e-173,1,0,1,0,0.11,0.013165611772087664,0.11,0.083,0.013253930234714028,0.083,1402.622,47.15662202072144
fearless-microwave-146,finished,-,submission_fpr_robust_after,2024-01-31T00:15:55.000Z,1556,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.03,0,0,0,0,0,0.23178059925323924,4.084931039327081e-170,1,0,1,0,0.102,0.008,0.102,0.071,0.009,0.071,1387.697,46.823179645061494
rosy-snow-140,finished,-,submission_fpr_robust,2024-01-31T00:07:57.000Z,354,,0.1,,3,trained_models/test_vae_model_16.h5,20,decision,0.5,1234,16,1.2,FALSE,,,t,0.01,0,0,0,0,2.1272036818091972e-145,0.21002781124872416,1.89014E-05,1,0,1,0,0.2,0.11055415967851331,0.2,0.05,0.05,0.05,1494.2,80.46947033405304
woven-sky-139,finished,-,submission_fpr_robust,2024-01-31T00:03:44.000Z,175,,0.1,,3,trained_models/test_vae_model_16.h5,10,decision,0.5,1234,16,1.2,FALSE,,,t,0.01,0,0,0,0,2.9582916797030056e-83,0.025401971759055897,0.003608423,1,0,1,0,0.4,0.16329931618554522,0.4,0,0,0,1547.5,82.36702489852905
snowy-wave-138,killed,-,submission_fpr_robust,2024-01-30T23:58:08.000Z,306,,0.1,,3,trained_models/test_vae_model_16.h5,100,decision,0.5,1234,16,1.2,FALSE,,,t,0.01,,,,,,,,,,,,,,,,,,,
stilted-plasma-95,finished,-,submission_fpr_robust,2024-01-30T11:07:25.000Z,4493,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.04,0,0,0,0,0,0.6741166286333193,2.010505605967793e-210,0.999,0.001,0.999,0,0.044,0.00718022,0.091,0.039,0.007063207,0.042,1347.096,31.27012926721573
wobbly-snowflake-94,finished,-,submission_fpr_robust,2024-01-30T11:01:01.000Z,1289,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.03,0,0,0,0,0,0.20296054203084068,8.210354651604954e-189,1,0,1,0,0.040999999999999995,0.006904105,0.102,0.026,0.004,0.03,1386.947,38.61505534148216
leafy-flower-93,finished,-,submission_fpr_robust,2024-01-30T10:33:55.000Z,4471,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.02,0,0,0,0,0,0.22481476276936196,1.5636577552436475e-202,1,0,1,0,0.047,0.006674995,0.096,0.045,0.00341565,0.049,1425.798,31.002119190692905
eternal-wave-92,finished,-,submission_fpr_robust,2024-01-30T10:22:34.000Z,4626,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.01,0,0,0,0,0,0.10728992071481824,1.7284966565525098e-217,1,0,1,0,0.049,0.00314466,0.095,0.036,0.006863753,0.038,1479.206,34.94368570828438
light-river-91,finished,-,submission_fpr_robust,2024-01-30T10:15:28.000Z,4312,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.04,0,0,0,0,0,0.41829604537011467,6.988663668210446e-201,0.999,0.001,0.999,0,0.044,0.004268749,0.087,0.038,0.007272475,0.041,1349.018,31.263435878038408
wise-eon-90,finished,-,submission_fpr_robust,2024-01-30T10:11:55.000Z,1285,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.03,0,0,0,0,0,0.20296054203084068,6.152312430606837e-188,1,0,1,0,0.040999999999999995,0.006904105,0.101,0.026,0.004,0.03,1386.411,38.58275461745262
olive-deluge-89,finished,-,submission_fpr_robust,2024-01-30T09:59:55.000Z,4839,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.02,0,0,0,0,0,0.24403315717150265,4.4556142197126535e-194,1,0,1,0,0.047,0.006333333,0.097,0.043,0.003958114,0.047,1426.929,33.246562137842176
zesty-fog-88,finished,-,submission_fpr_robust,2024-01-30T09:56:28.000Z,4765,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.01,0,0,0,0,0,0.078378039,1.0705368178969684e-213,1,0,1,0,0.049,0.007371115,0.091,0.038,0.005537749,0.04,1479.44,34.748731310129166
upbeat-dragon-87,finished,-,submission_fpr_robust,2024-01-30T09:53:25.000Z,4409,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.04,0,0,0,0,0,0.4650095990370777,1.86451850906388e-205,0.999,0.001,0.999,0,0.046,0.003711843,0.089,0.041,0.007520343,0.044,1347.419,31.593965020418167
worldly-darkness-86,finished,-,submission_fpr_robust,2024-01-30T09:49:55.000Z,1283,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.03,0,0,0,0,0,0.20296054203084068,6.152312430606837e-188,1,0,1,0,0.040999999999999995,0.006904105,0.102,0.026,0.003711843,0.03,1387.506,38.46681372284889
warm-planet-85,finished,-,submission_fpr_robust,2024-01-30T09:47:01.000Z,4428,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.02,0,0,0,0,0,0.3273106302757547,1.3478947384605636e-195,1,0,1,0,0.046,0.004268749,0.095,0.044,0.006182412,0.049,1424.627,30.933880158901214
autumn-mountain-84,finished,-,submission_fpr_robust,2024-01-30T09:03:52.000Z,4679,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormsteep,0.01,0,0,0,0,0,0.12477079948186098,7.033511800416157e-211,1,0,1,0,0.053000000000000005,0.008034647,0.095,0.039,0.005044249,0.041,1480.377,35.015724032640456
rose-thunder-83,finished,-,submission_fpr_robust,2024-01-30T09:02:49.000Z,4347,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.04,0,0,0,0,0,0.8240143899893099,6.988663668210446e-201,0.999,0.001,0.999,0,0.044,0.005617433,0.09,0.038,0.006110101,0.041,1350.043,31.467835859298702
unique-hill-80,finished,-,submission_fpr_robust,2024-01-30T08:36:55.000Z,4945,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.02,0,0,0,0,0,0.6097488746022353,2.0548210811502852e-194,1,0,1,0,0.049,0.007063207,0.096,0.044,0.004,0.049,1425.309,33.37932830095291
fast-dream-77,finished,-,submission_fpr_robust,2024-01-30T08:36:55.000Z,4551,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.04,0,0,0,0,0,0.3744119374398053,1.0525454845975986e-202,0.999,0.001,0.999,0,0.048,0.004898979,0.091,0.039999999999999994,0.005577734,0.043,1349.208,31.240881273508073
fresh-wood-79,finished,-,submission_fpr_robust,2024-01-30T08:36:55.000Z,4752,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.01,0,0,0,0,0,0.078378039,3.536897275197743e-214,1,0,1,0,0.05,0.006831301,0.09,0.038,0.005120764,0.04,1483.094,34.97680282402039
trim-bush-77,finished,-,submission_fpr_robust,2024-01-30T08:36:55.000Z,1537,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,exponnorm,0.03,0,0,0,0,0,0.20296054203084068,8.210354651604954e-189,1,0,1,0,0.040999999999999995,0.007218803,0.101,0.026,0.004,0.03,1386.721,46.238606889009475
volcanic-terrain-76,finished,-,submission_fpr_robust,2024-01-30T08:36:55.000Z,4359,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.02,0,0,0,0,0,0.5062290810500307,1.3478947384605636e-195,1,0,1,0,0.045,0.005217492,0.09,0.046,0.008192137,0.051,1426.196,30.93834220576286
comic-water-81,finished,-,submission_fpr_robust,2024-01-30T08:36:55.000Z,4195,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.01,0,0,0,0,0,0.1445130355520473,1.5468001719332874e-216,1,0,1,0,0.05,0.005163978,0.09,0.038,0.005120764,0.04,1477.946,32.86109187865257
fallen-frost-82,finished,-,submission_fpr_robust,2024-01-30T08:36:55.000Z,1572,,0.1,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,skewnorm,0.03,0,0,0,0,0,0.23178059925323924,8.210354651604954e-189,1,0,1,0,0.040999999999999995,0.007218803,0.102,0.026,0.004,0.03,1386.453,47.37842489433289
eager-star-75,finished,-,submission_fpr_robust,2024-01-30T07:06:04.000Z,4413,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.04,0,0,0,0,0,0.6182253817970441,3.13801194699598e-208,0.999,0.001,0.999,0,0.043,0.006155395,0.043,0.04,0.005163978,0.04,1347.72,31.228902553796768
easy-serenity-74,finished,-,submission_fpr_robust,2024-01-30T07:02:19.000Z,1300,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.03,0,0,0,0,0,0.17698505947402765,8.210354651604954e-189,1,0,1,0,0.040999999999999995,0.007218803,0.041,0.026,0.004,0.026,1386.662,38.94591433048248
charmed-snowflake-73,finished,-,submission_fpr_robust,2024-01-30T06:35:16.000Z,4411,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.02,0,0,0,0,0,0.2770373399667858,2.0691345598233824e-190,1,0,1,0,0.046,0.005416026,0.046,0.047,0.004955356,0.047,1423.728,31.102147550821304
likely-snow-72,finished,-,submission_fpr_robust,2024-01-30T06:24:34.000Z,4786,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,t,0.01,0,0,0,0,0,0.19150268862477984,2.1210170105877794e-219,1,0,1,0,0.048,0.009865766,0.048,0.038,0.004898979,0.038,1480.941,34.911779201745986
confused-frost-71,finished,-,submission_fpr_robust,2024-01-30T06:18:04.000Z,4543,,0.05,,3,trained_models/test_vae_model_16.h5,1000,decision,0.5,1234,16,1.2,FALSE,,,gennormflat,0.04,0,0,0,0,0,0.8240143899893099,2.6532012465748587e-207,0.999,0.001,0.999,0,0.044,0.004268749,0.044,0.038,0.007118052,0.038,1348.574,31.39274103593826
